rank,stock,spot,sell_strike,buy_strike,otm_percent,otm_points,width,credit,lot_size,profit_per_lot,loss_per_lot,breakeven,profit_to_loss
149,ASHLEY,175.77,170.0,162.5,3.282698981623718,5.77000000000001,7.5,1.3499999999999999,1,1.3499999999999999,6.15,168.65,4.555555555555556
150,CROGRE,889.0,860.0,840.0,3.262092238470191,29.0,20.0,4.549999999999999,1,4.549999999999999,15.450000000000001,855.45,3.3956043956043964
151,CROGRE,889.0,860.0,820.0,3.262092238470191,29.0,40.0,7.699999999999999,1,7.699999999999999,32.3,852.3,4.194805194805195
152,DELLIM,470.2,455.0,450.0,3.232666950233941,15.199999999999989,5.0,0.8499999999999996,1,0.8499999999999996,4.15,454.15,4.882352941176473
153,DELLIM,470.2,455.0,445.0,3.232666950233941,15.199999999999989,10.0,1.8499999999999996,1,1.8499999999999996,8.15,453.15,4.405405405405406
154,DELLIM,470.2,455.0,440.0,3.232666950233941,15.199999999999989,15.0,2.6499999999999995,1,2.6499999999999995,12.350000000000001,452.35,4.6603773584905674
155,UNIBAN,186.0,180.0,175.0,3.225806451612903,6.0,5.0,1.0999999999999999,1,1.0999999999999999,3.9000000000000004,178.9,3.5454545454545463
156,UNIBAN,186.0,180.0,172.5,3.225806451612903,6.0,7.5,1.45,1,1.45,6.05,178.55,4.172413793103448
157,UNIBAN,186.0,180.0,170.0,3.225806451612903,6.0,10.0,1.7,1,1.7,8.3,178.3,4.882352941176471
158,DRREDD,1178.0,1140.0,1100.0,3.225806451612903,38.0,40.0,7.249999999999999,1,7.249999999999999,32.75,1132.75,4.517241379310345
159,KPITE,609.4,590.0,580.0,3.183459140137837,19.399999999999977,10.0,2.3999999999999995,1,2.3999999999999995,7.6000000000000005,587.6,3.1666666666666674
160,KPITE,609.4,590.0,570.0,3.183459140137837,19.399999999999977,20.0,4.3,1,4.3,15.7,585.7,3.6511627906976742
161,KPITE,609.4,590.0,560.0,3.183459140137837,19.399999999999977,30.0,5.699999999999999,1,5.699999999999999,24.3,584.3,4.2631578947368425
162,KPITE,609.4,590.0,550.0,3.183459140137837,19.399999999999977,40.0,6.699999999999999,1,6.699999999999999,33.3,583.3,4.970149253731344
163,NATMIN,86.76,84.0,83.0,3.181189488243436,2.760000000000005,1.0,0.17000000000000004,1,0.17000000000000004,0.83,83.83,4.882352941176469
164,FSNECO,335.65,325.0,320.0,3.1729480113213104,10.649999999999977,5.0,0.8999999999999999,1,0.8999999999999999,4.1,324.1,4.555555555555555
165,RBLBAN,382.0,370.0,360.0,3.1413612565445024,12.0,10.0,2.0000000000000004,1,2.0000000000000004,8.0,368.0,3.999999999999999
166,BSE,3405.0,3300.0,3200.0,3.0837004405286343,105.0,100.0,24.549999999999997,200,4909.999999999999,15090.0,3275.45,3.0733197556008154
167,BSE,3405.0,3300.0,3100.0,3.0837004405286343,105.0,200.0,39.75,200,7950.0,32050.0,3260.25,4.031446540880503
168,ONE97,1650.9,1600.0,1560.0,3.0831667575262034,50.90000000000009,40.0,10.0,1,10.0,30.0,1590.0,3.0
169,ONE97,1650.9,1600.0,1540.0,3.0831667575262034,50.90000000000009,60.0,13.5,1,13.5,46.5,1586.5,3.4444444444444446
170,ONE97,1650.9,1600.0,1500.0,3.0831667575262034,50.90000000000009,100.0,18.9,1,18.9,81.1,1581.1,4.291005291005291
171,ANGBRO,294.0,285.0,265.0,3.061224489795918,9.0,20.0,4.75,1,4.75,15.25,280.25,3.210526315789474
172,ANGBRO,294.0,285.0,260.0,3.061224489795918,9.0,25.0,5.3,1,5.3,19.7,279.7,3.7169811320754715
173,NTPC,330.05,320.0,315.0,3.0449931828510866,10.050000000000011,5.0,1.15,1,1.15,3.85,318.85,3.347826086956522
174,NTPC,330.05,320.0,310.0,3.0449931828510866,10.050000000000011,10.0,1.9499999999999997,1,1.9499999999999997,8.05,318.05,4.1282051282051295
175,LAULAB,1938.5,1880.0,1780.0,3.017797265927263,58.5,100.0,24.0,1,24.0,76.0,1856.0,3.1666666666666665
176,LAULAB,1938.5,1880.0,1760.0,3.017797265927263,58.5,120.0,26.15,1,26.15,93.85,1853.85,3.5889101338432123
